Tool,Category,Contract,Line Numbers
ccc,access_control,parity_wallet_bug_1,[230]
ccc,access_control,parity_wallet_bug_2,[234]
ccc,reentrancy,0x941d225236464a25eb18076df7da6a91d0f95e9e,[32]
ccc,unchecked_low_calls,0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859,"[20, 38]"
ccc,unchecked_low_calls,0xdb1c55f6926e7d847ddf8678905ad871a68199d2,"[20, 21, 30]"
ccc,unchecked_low_calls,0xbaa3de6504690efb064420d89e871c27065cdd52,[39]
ccc,unchecked_low_calls,king_of_the_ether_throne,"[110, 118, 132, 174]"
ccc,unchecked_low_calls,0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37,"[26, 27, 36]"
ccc,unchecked_low_calls,0x610495793564aed0f9c7fc48dc4c7c9151d34fd6,[28]
ccc,unchecked_low_calls,0x806a6bd219f162442d992bdc4ee6eba1f2c5a707,"[25, 26, 35]"
ccc,unchecked_low_calls,etherpot_lotto,"[109, 141]"
ccc,unchecked_low_calls,0xbebbfe5b549f5db6e6c78ca97cac19d1fb03082c,[39]
ccc,unchecked_low_calls,0xe82f0742a71a02b9e9ffc142fdcb6eb1ed06fb87,"[20, 21, 30]"
ccc,unchecked_low_calls,0x958a8f594101d2c0485a52319f29b2647f2ebc06,[138]
ccc,unchecked_low_calls,0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf,"[25, 26, 35]"
ccc,unchecked_low_calls,0xb620cee6b52f96f3c6b253e6eea556aa2d214a99,"[81, 137]"
ccc,unchecked_low_calls,0x663e4229142a27f00bafb5d087e1e730648314c3,"[1152, 2467, 1223, 1496, 1961, 1307, 1295]"
ccc,unchecked_low_calls,0xf29ebe930a539a60279ace72c707cba851a57707,[17]
ccc,unchecked_low_calls,0x7d09edb07d23acb532a82be3da5c17d9d85806b4,[187]
ccc,unchecked_low_calls,0x07f7ecb66d788ab01dc93b9b71a88401de7d0f2e,[190]
ccc,unchecked_low_calls,0x39cfd754c85023648bf003bea2dd498c5612abfa,[44]
ccc,unchecked_low_calls,0x89c1b3807d4c67df034fffb62f3509561218d30b,"[162, 175]"
ccc,unchecked_low_calls,0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2,"[26, 27, 36]"
ccc,unchecked_low_calls,0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839,[43]
ccc,unchecked_low_calls,0x7a4349a749e59a5736efb7826ee3496a2dfd5489,"[25, 26, 35]"
ccc,unchecked_low_calls,0xd2018bfaa266a9ec0a1a84b061640faa009def76,"[25, 26, 35]"
ccc,unchecked_low_calls,lotto,"[27, 20]"
ccc,unchecked_low_calls,0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77,[39]
ccc,unchecked_low_calls,0x8fd1e427396ddb511533cf9abdbebd0a7e08da35,[44]
ccc,unchecked_low_calls,0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01,[44]
ccc,unchecked_low_calls,0x5aa88d2901c68fda244f1d0584400368d2c8e739,"[20, 38]"
ccc,unchecked_low_calls,0xb0510d68f210b7db66e8c7c814f22680f2b8d1d6,"[109, 37]"
ccc,unchecked_low_calls,0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e,"[25, 26, 35]"
ccc,unchecked_low_calls,0x70f9eddb3931491aab1aeafbc1e7f1ca2a012db4,"[16, 17, 23]"
ccc,unchecked_low_calls,0x52d2e0f9b01101a59b38a3d05c80b7618aeed984,"[19, 22]"
ccc,unchecked_low_calls,0xb37f18af15bafb869a065b61fc83cfc44ed9cc27,[28]
ccc,unchecked_low_calls,0xe09b1ab8111c2729a76f16de96bc86a7af837928,"[313, 302]"
